25,24,23,22,21,20,4,3,2,1,1,1,6,1,5,1,4,1,25,2,24,1,1,3,56,1,3,5,2,1,1,98,1,156,1,6,3,1,3,1,2,45,1,1,3,207,2,2,1,370,15,1,1,1,3,4,3,2,1,595,11,2,1,2,2,11,11,3,39,2,2,14,1,1,529,2,1,90,3,10,1,2,1,488,19,9,3,177,2,22,2,50,3,2,856,1,1,2,2,9,18,58,948,1,2,14,1,3,21,19,34,111,2,1,830,3,5,8,8,11,27,3,2,1058,3,45,4,6,11,31,9,249,8,1,33,14,10,13,8,7,584,1,109,9,5,1,21,771,57,14,1,183,1,12,29,3,18,3,1,61,7,1,2,1,689,1,56,565,1,2,28,2,116,5,7,4,1,4,28,5,1,20,2,899,1,2,2,2,5,9,2,2,271,2,2,1,3,2,277,8,1,2,1,13,3,2,17,8,1,1,5,128,1,1,2,2,211,1,2,9,1,1,1,86,1,1,1,7,55,1,1,3,1,22,1,2,1,9,1,1,1,2,3,4,5,7,20,22,23,24
22,21,4,3,2,1,12,9,8,3,1,1,2,2,3,1,3,10,14,1,21,1,1,1,54,1,2,4,1,2,92,5,2,2,151,1,2,1,2,1,1,42,1,1,4,202,1,1,1,368,1,12,5,1,2,3,2,1,2,592,1,9,2,1,1,10,10,2,38,1,1,11,2,1,527,1,1,88,2,8,1,1,469,18,18,8,2,176,1,21,1,49,2,1,35,819,805,1,1,8,17,57,1,946,1,2,11,2,20,18,33,72,38,1,829,2,4,7,7,10,26,2,1,1057,2,44,3,5,10,30,8,248,7,32,3,10,9,12,7,6,583,3,105,8,4,17,3,770,56,13,2,180,1,10,28,2,8,9,2,60,2,4,1,687,1,55,1,12,551,1,27,1,115,4,6,3,2,1,27,4,2,17,1,15,883,1,1,1,4,8,1,1,270,1,1,2,1,271,2,3,7,1,2,10,2,1,16,5,2,1,3,125,1,1,1,2,207,1,1,2,6,1,3,81,1,1,5,17,3,34,1,2,1,20,1,1,1,6,1,1,2,3,9,10,11,12,1,1,2,3
2,1,16,15,13,2,1,2,1,4,3,1,1,1,2,1,1,9,13,1,2,17,1,6,45,2,1,3,1,2,87,4,1,1,135,14,1,1,1,1,3,37,1,1,2,201,1,1,5,361,1,2,4,3,1,2,1,1,72,518,1,2,4,1,3,6,9,1,36,1,2,8,1,503,22,1,1,86,1,5,2,466,2,17,17,7,1,3,172,14,6,48,1,2,32,6,7,804,1,6,2,14,56,3,942,1,10,1,19,17,32,71,2,35,828,1,3,6,6,9,25,1,75,981,1,43,2,4,9,29,7,247,6,31,2,9,8,11,6,5,582,2,104,7,3,16,2,769,55,12,1,179,1,8,27,1,7,8,1,59,1,3,680,6,2,52,1,10,550,9,13,4,114,3,5,2,1,18,8,3,1,16,4,10,2,880,1,2,1,7,1,20,248,1,1,1,13,257,1,2,4,2,1,9,1,3,12,4,1,2,112,1,11,1,1,2,196,7,1,1,5,1,1,78,1,1,2,16,2,31,1,1,9,4,5,1,1,4,1,1,2,5,1,4,5,6,7,8,1,2
6,5,4,3,1,10,8,6,3,2,1,1,2,1,1,1,7,1,11,1,1,16,2,2,38,6,1,2,1,1,85,2,1,1,132,1,12,3,1,1,32,1,3,1,2,4,193,2,1,359,1,1,1,2,2,1,2,71,1,4,512,1,1,3,2,5,3,5,31,4,1,7,499,3,3,18,3,81,1,4,1,465,1,16,16,2,4,2,171,13,5,43,4,1,31,5,6,802,1,5,1,13,55,2,937,4,6,3,18,16,31,70,1,2,32,827,2,5,5,8,24,70,4,980,12,30,1,3,8,28,6,246,5,30,1,8,7,10,5,4,581,1,103,6,2,15,1,768,54,11,2,176,1,6,26,3,3,7,3,48,7,2,679,5,1,51,5,4,549,8,12,3,113,2,4,1,1,16,7,2,2,13,3,9,1,867,11,1,4,2,1,17,4,243,1,1,10,255,1,1,3,1,1,7,1,1,11,3,1,1,109,1,7,2,1,2,193,1,4,2,2,1,55,1,21,1,1,15,1,29,1,7,1,3,2,1,1,1,1,1,2,1,2,1,2,3,4,5,14,15
4,3,2,1,2,1,1,1,2,1,1,6,3,2,1,2,3,2,5,3,1,14,1,1,37,4,1,1,1,78,5,1,1,2,128,1,5,3,1,1,29,1,2,1,2,1,192,1,2,339,17,2,1,1,1,1,1,67,2,1,118,392,1,2,1,4,2,4,30,3,4,2,498,2,2,17,2,67,13,3,2,462,8,7,15,1,3,1,170,12,4,41,1,3,30,4,5,3,798,4,3,9,54,1,936,3,5,2,17,15,30,4,65,1,31,826,1,4,4,7,23,69,3,979,11,29,2,6,1,27,5,245,4,29,1,6,6,9,4,3,580,68,34,5,1,6,8,767,53,10,1,175,3,2,25,2,2,6,2,47,6,1,678,4,47,3,4,3,548,7,11,2,112,1,2,1,3,12,6,1,1,12,2,3,5,866,3,7,3,1,16,1,2,240,1,1,8,1,253,1,1,1,2,3,1,5,5,2,1,103,4,1,6,1,1,1,189,2,3,1,1,3,50,1,9,9,1,14,1,26,1,5,1,2,1,1,6,7,8,10,1,2,1,2,3,4,5,6,7,93
6,5,4,3,2,1,1,1,20,19,17,2,1,2,1,1,2,1,4,2,1,11,1,2,34,1,2,1,6,70,3,1,1,2,124,1,4,1,1,2,24,2,1,1,1,111,1,79,1,338,1,13,2,1,1,3,6,60,1,1,116,1,389,1,1,3,1,3,29,2,3,1,497,1,1,16,1,66,12,2,1,461,7,6,12,2,2,149,20,11,3,39,1,2,29,3,4,2,797,3,2,8,52,1,935,2,4,1,16,14,29,3,62,2,30,1,824,3,3,6,22,68,2,978,10,28,1,5,4,22,4,244,3,28,1,4,5,8,3,2,579,67,33,4,2,3,7,766,52,9,165,9,2,1,24,1,1,5,1,46,5,672,5,3,46,2,3,2,547,6,10,1,23,88,1,1,1,11,3,2,9,2,1,2,4,865,2,6,2,2,13,1,3,235,1,1,6,2,1,248,1,1,1,2,3,1,4,1,1,100,2,1,4,1,1,180,1,7,1,2,2,1,48,1,7,8,6,4,2,24,1,1,3,1,1,4,1,2,1,2,11,12,15,1,1,2,3,4,85,1
54,4,3,2,1,2,1,30,7,2,1,8,6,3,2,1,1,1,2,1,1,8,1,1,32,1,1,1,3,68,1,2,1,2,120,1,2,1,1,2,20,1,1,1,107,1,1,78,1,335,1,2,8,2,1,1,1,58,1,1,113,1,373,14,2,1,2,2,28,1,2,7,488,1,3,12,62,3,11,1,455,5,6,5,11,1,1,148,19,10,2,5,33,1,28,2,3,1,796,2,1,7,30,21,934,1,3,5,10,13,28,2,60,1,1,29,823,2,2,5,21,67,1,977,9,27,3,1,3,21,3,243,2,1,26,3,4,7,2,1,578,66,32,3,1,2,6,765,51,8,164,8,1,3,1,19,1,3,42,3,4,671,4,2,45,1,2,1,546,5,4,5,22,3,84,1,1,9,2,1,8,1,1,2,1,864,1,5,1,1,12,2,1,6,227,3,2,1,3,6,237,3,2,1,2,3,1,3,86,4,9,1,2,1,1,176,1,2,4,1,1,7,39,1,6,7,5,3,1,17,6,1,2,1,2,1,2,3,6,1,4,5,6,35,37,38,39,80,1,2
1,49,48,47,46,2,32,1,1,4,2,1,1,1,1,1,1,1,1,1,4,3,1,19,1,11,1,2,1,65,1,1,1,2,113,4,2,1,1,1,17,1,2,98,5,2,1,76,1,333,1,1,2,3,1,1,51,2,4,1,111,1,370,1,11,1,1,1,27,1,4,2,486,1,2,11,61,2,4,6,454,4,5,4,2,8,14,133,18,9,1,4,28,4,27,1,2,2,793,1,1,5,23,6,20,933,2,4,9,12,27,1,2,57,1,28,822,1,1,4,20,63,3,976,8,26,2,1,1,20,2,1,241,1,25,2,3,6,1,566,11,65,30,1,2,1,5,764,50,7,163,7,1,1,10,8,2,3,38,2,3,670,3,1,42,2,1,540,5,4,3,4,21,2,8,74,1,7,1,1,5,1,1,1,620,240,3,1,3,2,9,1,1,4,226,2,1,2,4,1,230,2,1,1,1,2,1,3,79,3,3,5,1,1,36,138,1,1,2,1,6,1,36,1,5,6,4,2,1,15,3,1,1,1,2,1,1,2,3,10,11,12,13,1,38,39,40,1,2,3
10,9,3,2,1,41,6,3,2,1,1,1,6,4,2,1,5,2,1,1,1,2,4,13,1,7,1,1,5,1,58,1,1,1,112,1,1,1,1,14,2,1,1,94,4,1,72,3,1,331,2,1,1,1,1,2,47,1,3,2,108,1,367,1,1,8,1,1,25,1,2,1,12,473,1,10,60,1,3,5,453,3,4,3,1,7,13,132,17,6,2,3,27,3,3,23,1,1,764,28,2,2,22,5,19,932,1,3,8,11,4,22,1,54,1,26,1,821,2,1,19,62,2,975,7,25,1,1,10,9,1,213,3,24,24,1,2,5,565,2,8,64,15,14,1,3,1,763,49,6,162,4,2,3,6,7,1,2,37,1,2,669,2,5,36,1,319,220,4,3,2,3,20,1,7,3,70,2,4,1,3,1,5,616,2,239,1,1,2,1,7,1,1,2,225,1,1,2,1,12,2,215,5,3,1,1,2,6,72,2,2,4,1,33,1,133,4,2,1,3,2,1,34,1,4,5,3,1,1,13,1,1,1,2,3,7,1,2,3,29,30,31,35,36,1,2,3,1,1,2
8,1,5,4,1,1,1,2,1,1,1,10,2,1,10,8,2,1,1,1,1,1,2,11,1,3,3,1,3,1,53,3,1,1,102,7,1,1,8,4,1,1,92,1,3,1,70,2,1,5,321,15,2,1,1,2,43,1,2,1,107,1,7,358,1,1,5,1,23,1,1,3,8,472,5,4,59,1,1,4,452,2,3,1,1,6,12,131,16,5,1,2,26,2,2,21,1,756,7,27,1,1,21,4,17,1,931,2,7,10,3,5,16,2,51,22,3,820,1,13,5,61,1,974,6,24,1,6,2,8,32,180,2,23,14,9,1,4,564,1,7,63,13,1,13,2,758,4,48,5,161,3,1,2,5,6,1,4,7,25,1,668,1,4,35,315,3,219,3,2,1,2,19,2,4,2,69,1,2,1,2,3,5,605,1,3,235,1,1,1,4,1,1,14,209,1,1,1,9,2,1,208,1,1,1,1,4,1,71,1,1,3,1,30,1,130,1,1,1,2,1,1,30,1,3,4,2,1,10,1,1,1,2,3,4,12,21,23,25,1,2,3,1,2,3,4,5,9,11,1
